Cuisine,Category,Food_Name
Breakfast,Breakfast,American Breakfast
Breakfast,Breakfast,Avocado Toast
Breakfast,Breakfast,Belgian Waffles
Breakfast,Breakfast,Blueberry Pancakes
Breakfast,Breakfast,Boiled Eggs
Breakfast,Breakfast,Bread Omelette
Breakfast,Breakfast,Breakfast Bagel
Breakfast,Breakfast,Breakfast Burrito
Breakfast,Breakfast,Cheese Omelette
Breakfast,Breakfast,Chocolate Pancakes
Breakfast,Breakfast,Chole Bhature
Breakfast,Breakfast,Cornflakes
Breakfast,Breakfast,Dosa
Breakfast,Breakfast,Egg Bhurji
Breakfast,Breakfast,Egg Sandwich
Breakfast,Breakfast,Eggs Benedict
Breakfast,Breakfast,English Breakfast
Breakfast,Breakfast,French Toast
Breakfast,Breakfast,French Toast with Berries
Breakfast,Breakfast,Granola Bowl
Breakfast,Breakfast,Idli
Breakfast,Breakfast,Masala Omelette
Breakfast,Breakfast,Misal Pav
Breakfast,Breakfast,Muesli
Breakfast,Breakfast,Oatmeal
Breakfast,Breakfast,Omelette
Breakfast,Breakfast,Overnight Oats
Breakfast,Breakfast,Pancakes
Breakfast,Breakfast,Paratha
Breakfast,Breakfast,Pav Bhaji
Breakfast,Breakfast,Peanut Butter Toast
Breakfast,Breakfast,Poached Eggs
Breakfast,Breakfast,Poha
Breakfast,Breakfast,Puri Bhaji
Breakfast,Breakfast,Sabudana Khichdi
Breakfast,Breakfast,Scrambled Eggs
Breakfast,Breakfast,Stuffed Paratha
Breakfast,Breakfast,Sunny Side Up Eggs
Breakfast,Breakfast,Upma
Breakfast,Breakfast,Waffles
Breakfast,Breakfast,Yogurt Bowl
Chinese,Main Course,American Chop Suey
Chinese,Main Course,Beef Chow Mein
Chinese,Main Course,Beef in Black Bean Sauce
Chinese,Main Course,Beef with Broccoli
Chinese,Main Course,Black Pepper Chicken
Chinese,Main Course,Cashew Chicken
Chinese,Main Course,Char Siu
Chinese,Main Course,Chicken Chow Mein
Chinese,Main Course,Chicken Fried Rice
Chinese,Main Course,Chicken Hakka Noodles
Chinese,Main Course,Chicken Manchurian
Chinese,Main Course,Chilli Garlic Noodles
Chinese,Main Course,Chinese Chop Suey
Chinese,Main Course,Chow Mein
Chinese,Main Course,Dan Dan Noodles
Chinese,Main Course,Dongpo Pork
Chinese,Main Course,Dragon Chicken
Chinese,Main Course,Dragon Paneer
Chinese,Main Course,Egg Fried Rice
Chinese,Main Course,General Tso's Chicken
Chinese,Main Course,Kung Pao Chicken
Chinese,Main Course,Ma Po Eggplant
Chinese,Main Course,Mapo Tofu
Chinese,Main Course,Mongolian Beef
Chinese,Main Course,Mongolian Chicken
Chinese,Main Course,Orange Chicken
Chinese,Main Course,Peking Duck
Chinese,Main Course,Prawn Fried Rice
Chinese,Main Course,Schezwan Fried Rice
Chinese,Main Course,Schezwan Noodles
Chinese,Main Course,Shanghai Noodles
Chinese,Main Course,Singapore Noodles
Chinese,Main Course,Sweet and Sour Chicken
Chinese,Main Course,Sweet and Sour Pork
Chinese,Main Course,Twice Cooked Pork
Chinese,Main Course,Veg Fried Rice
Chinese,Main Course,Veg Hakka Noodles
Chinese,Main Course,Vegetable Manchurian
Chinese,Main Course,Yangzhou Fried Rice
Chinese,Soup,Chicken Clear Soup
Chinese,Soup,Egg Drop Soup
Chinese,Soup,Hot and Sour Soup
Chinese,Soup,Manchow Soup
Chinese,Soup,Mushroom Soup
Chinese,Soup,Noodle Soup
Chinese,Soup,Sweet Corn Soup
Chinese,Soup,Szechuan Soup
Chinese,Soup,Tomato Egg Soup
Chinese,Soup,Vegetable Clear Soup
Chinese,Soup,Wonton Soup
Chinese,Specialty,Chinese Caramel Dessert
Chinese,Specialty,Chinese Cheese Sandwich
Chinese,Specialty,Chinese Chicken Sandwich
Chinese,Specialty,Chinese Chicken Soup
Chinese,Specialty,Chinese Chocolate Dessert
Chinese,Specialty,Chinese Cream Soup
Chinese,Specialty,Chinese Creamy Chicken
Chinese,Specialty,Chinese Creamy Vegetable Curry
Chinese,Specialty,Chinese Crispy Chicken
Chinese,Specialty,Chinese Crispy Fish
Chinese,Specialty,Chinese Fish Fillet
Chinese,Specialty,Chinese Fresh Fruit Bowl
Chinese,Specialty,Chinese Garlic Noodles
Chinese,Specialty,Chinese Grilled Chicken
Chinese,Specialty,Chinese Grilled Fish
Chinese,Specialty,Chinese Grilled Vegetable Platter
Chinese,Specialty,Chinese Herb Chicken
Chinese,Specialty,Chinese Herb Rice
Chinese,Specialty,Chinese Mixed Salad
Chinese,Specialty,Chinese Mushroom Soup
Chinese,Specialty,Chinese Sesame Noodles
Chinese,Specialty,Chinese Spicy Chicken
Chinese,Specialty,Chinese Spicy Fish
Chinese,Specialty,Chinese Spicy Noodles
Chinese,Specialty,Chinese Spicy Rice
Chinese,Specialty,Chinese Spicy Vegetable Curry
Chinese,Specialty,Chinese Tomato Soup
Chinese,Specialty,Chinese Vanilla Dessert
Chinese,Specialty,Chinese Vegetable Curry
Chinese,Specialty,Chinese Vegetable Noodles
Chinese,Specialty,Chinese Vegetable Rice
Chinese,Specialty,Chinese Vegetable Sandwich
Chinese,Specialty,Chinese Vegetable Soup
Chinese,Starter,Chicken Dumplings
Chinese,Starter,Chicken Lollipop
Chinese,Starter,Chicken Spring Rolls
Chinese,Starter,Chicken Wontons
Chinese,Starter,Chilli Chicken
Chinese,Starter,Chilli Paneer
Chinese,Starter,Chilli Prawns
Chinese,Starter,Chinese Bhel
Chinese,Starter,Crispy Corn
Chinese,Starter,Crispy Lotus Stem
Chinese,Starter,Drums of Heaven
Chinese,Starter,Honey Chilli Potato
Chinese,Starter,Prawn Dumplings
Chinese,Starter,Prawn Toast
Chinese,Starter,Salt and Pepper Chicken
Chinese,Starter,Salt and Pepper Mushroom
Chinese,Starter,Schezwan Paneer
Chinese,Starter,Sesame Toast
Chinese,Starter,Spring Rolls
Chinese,Starter,Vegetable Dumplings
Chinese,Starter,Vegetable Spring Rolls
Chinese,Starter,Wontons
Continental,Dessert,Apple Crumble
Continental,Dessert,Bread Pudding
Continental,Dessert,Caramel Custard
Continental,Dessert,Chocolate Brownie
Continental,Dessert,Chocolate Fondant
Continental,Dessert,Chocolate Mousse
Continental,Dessert,Fruit Tart
Continental,Dessert,Lemon Tart
Continental,Dessert,Panna Cotta
Continental,Dessert,Vanilla Pudding
Continental,Main Course,Baked Pasta
Continental,Main Course,Baked Salmon
Continental,Main Course,Beef Stroganoff
Continental,Main Course,Chicken Cordon Bleu
Continental,Main Course,Chicken Kiev
Continental,Main Course,Chicken Pasta
Continental,Main Course,Chicken Schnitzel
Continental,Main Course,Chicken Steak
Continental,Main Course,Chicken Stroganoff
Continental,Main Course,Cottage Pie
Continental,Main Course,Creamy Mushroom Pasta
Continental,Main Course,Fish and Chips
Continental,Main Course,Grilled Chicken
Continental,Main Course,Grilled Fish
Continental,Main Course,Grilled Salmon
Continental,Main Course,Grilled Vegetables
Continental,Main Course,Herb Roasted Potatoes
Continental,Main Course,Pork Schnitzel
Continental,Main Course,Roast Beef
Continental,Main Course,Roast Chicken
Continental,Main Course,Shepherd's Pie
Continental,Main Course,Steak
Continental,Main Course,Stuffed Chicken Breast
Continental,Main Course,Vegetable Au Gratin
Continental,Main Course,Vegetable Gratin
Continental,Specialty,Continental Caramel Dessert
Continental,Specialty,Continental Cheese Sandwich
Continental,Specialty,Continental Chicken Sandwich
Continental,Specialty,Continental Chicken Soup
Continental,Specialty,Continental Chocolate Dessert
Continental,Specialty,Continental Cream Soup
Continental,Specialty,Continental Creamy Chicken
Continental,Specialty,Continental Creamy Vegetable Curry
Continental,Specialty,Continental Crispy Chicken
Continental,Specialty,Continental Crispy Fish
Continental,Specialty,Continental Fish Fillet
Continental,Specialty,Continental Fresh Fruit Bowl
Continental,Specialty,Continental Garlic Noodles
Continental,Specialty,Continental Grilled Chicken
Continental,Specialty,Continental Grilled Fish
Continental,Specialty,Continental Grilled Vegetable Platter
Continental,Specialty,Continental Herb Chicken
Continental,Specialty,Continental Herb Rice
Continental,Specialty,Continental Mixed Salad
Continental,Specialty,Continental Mushroom Soup
Continental,Specialty,Continental Sesame Noodles
Continental,Specialty,Continental Spicy Chicken
Continental,Specialty,Continental Spicy Fish
Continental,Specialty,Continental Spicy Noodles
Continental,Specialty,Continental Spicy Rice
Continental,Specialty,Continental Spicy Vegetable Curry
Continental,Specialty,Continental Tomato Soup
Continental,Specialty,Continental Vanilla Dessert
Continental,Specialty,Continental Vegetable Curry
Continental,Specialty,Continental Vegetable Noodles
Continental,Specialty,Continental Vegetable Rice
Continental,Specialty,Continental Vegetable Sandwich
Continental,Specialty,Continental Vegetable Soup
Continental,Starter,Bruschetta
Continental,Starter,Caesar Salad
Continental,Starter,Cheese Balls
Continental,Starter,Chicken Skewers
Continental,Starter,Coleslaw
Continental,Starter,Cream of Chicken Soup
Continental,Starter,Cream of Mushroom Soup
Continental,Starter,Cream of Tomato Soup
Continental,Starter,Garden Salad
Continental,Starter,Garlic Bread
Continental,Starter,Greek Salad
Continental,Starter,Stuffed Mushrooms
Dessert,Dessert,Apple Crumble
Dessert,Dessert,Apple Pie
Dessert,Dessert,Baklava
Dessert,Dessert,Banoffee Pie
Dessert,Dessert,Basbousa
Dessert,Dessert,Black Forest Cake
Dessert,Dessert,Brownie
Dessert,Dessert,Butterscotch Ice Cream
Dessert,Dessert,Caramel Pudding
Dessert,Dessert,Carrot Cake
Dessert,Dessert,Cheesecake
Dessert,Dessert,Chocolate Cake
Dessert,Dessert,Chocolate Ice Cream
Dessert,Dessert,Chocolate Lava Cake
Dessert,Dessert,Chocolate Mousse
Dessert,Dessert,Chocolate Pudding
Dessert,Dessert,Churros
Dessert,Dessert,Cookie Dough Ice Cream
Dessert,Dessert,Crepes
Dessert,Dessert,Crème Brûlée
Dessert,Dessert,Custard
Dessert,Dessert,Donuts
Dessert,Dessert,Dorayaki
Dessert,Dessert,Falooda
Dessert,Dessert,Flan
Dessert,Dessert,Fruit Custard
Dessert,Dessert,Fruit Tart
Dessert,Dessert,Gulab Jamun
Dessert,Dessert,Ice Cream
Dessert,Dessert,Jalebi
Dessert,Dessert,Kheer
Dessert,Dessert,Kulfi
Dessert,Dessert,Kunafa
Dessert,Dessert,Lemon Tart
Dessert,Dessert,Macarons
Dessert,Dessert,Mango Ice Cream
Dessert,Dessert,Mango Sticky Rice
Dessert,Dessert,Mint Chocolate Ice Cream
Dessert,Dessert,Mochi
Dessert,Dessert,Opera Cake
Dessert,Dessert,Pancakes
Dessert,Dessert,Panna Cotta
Dessert,Dessert,Profiteroles
Dessert,Dessert,Rasgulla
Dessert,Dessert,Rasmalai
Dessert,Dessert,Red Velvet Cake
Dessert,Dessert,Rice Pudding
Dessert,Dessert,Strawberry Ice Cream
Dessert,Dessert,Taiyaki
Dessert,Dessert,Tiramisu
Dessert,Dessert,Tres Leches Cake
Dessert,Dessert,Vanilla Cake
Dessert,Dessert,Vanilla Ice Cream
Dessert,Dessert,Vanilla Pudding
Dessert,Dessert,Waffles
Dessert,Dessert,Éclair
French,Dessert,Clafoutis
French,Dessert,Crème Brûlée
French,Dessert,Crêpes Suzette
French,Dessert,Financier
French,Dessert,Macarons
French,Dessert,Madeleine
French,Dessert,Mille-Feuille
French,Dessert,Opera Cake
French,Dessert,Pain au Chocolat
French,Dessert,Paris-Brest
French,Dessert,Profiteroles
French,Dessert,Tarte Tatin
French,Dessert,Éclair
French,Main Course,Beef Bourguignon
French,Main Course,Boeuf Bourguignon
French,Main Course,Bouillabaisse
French,Main Course,Cassoulet
French,Main Course,Chicken Fricassee
French,Main Course,Coq au Vin
French,Main Course,Croque Madame
French,Main Course,Croque Monsieur
French,Main Course,Duck Confit
French,Main Course,Escargots
French,Main Course,Gratin Dauphinois
French,Main Course,Quiche Lorraine
French,Main Course,Ratatouille
French,Main Course,Sole Meuniere
French,Main Course,Steak Frites
French,Main Course,Tartiflette
French,Specialty,French Caramel Dessert
French,Specialty,French Cheese Sandwich
French,Specialty,French Chicken Sandwich
French,Specialty,French Chicken Soup
French,Specialty,French Chocolate Dessert
French,Specialty,French Cream Soup
French,Specialty,French Creamy Chicken
French,Specialty,French Creamy Vegetable Curry
French,Specialty,French Crispy Chicken
French,Specialty,French Crispy Fish
French,Specialty,French Fish Fillet
French,Specialty,French Fresh Fruit Bowl
French,Specialty,French Garlic Noodles
French,Specialty,French Grilled Chicken
French,Specialty,French Grilled Fish
French,Specialty,French Grilled Vegetable Platter
French,Specialty,French Herb Chicken
French,Specialty,French Herb Rice
French,Specialty,French Mixed Salad
French,Specialty,French Mushroom Soup
French,Specialty,French Sesame Noodles
French,Specialty,French Spicy Chicken
French,Specialty,French Spicy Fish
French,Specialty,French Spicy Noodles
French,Specialty,French Spicy Rice
French,Specialty,French Spicy Vegetable Curry
French,Specialty,French Tomato Soup
French,Specialty,French Vanilla Dessert
French,Specialty,French Vegetable Curry
French,Specialty,French Vegetable Noodles
French,Specialty,French Vegetable Rice
French,Specialty,French Vegetable Sandwich
French,Specialty,French Vegetable Soup
French,Starter,Cheese Souffle
French,Starter,Escargot
French,Starter,French Onion Soup
French,Starter,French Quiche
French,Starter,Pate
French,Starter,Ratatouille Tart
French,Starter,Salade Nicoise
French,Starter,Terrine
Indian,Bengali,Aloo Posto
Indian,Bengali,Begun Bhaja
Indian,Bengali,Chingri Malai Curry
Indian,Bengali,Cholar Dal
Indian,Bengali,Doi Maach
Indian,Bengali,Kosha Mangsho
Indian,Bengali,Luchi Alur Dom
Indian,Bengali,Macher Jhol
Indian,Bengali,Mishti Doi
Indian,Bengali,Mochar Ghonto
Indian,Bengali,Payesh
Indian,Bengali,Rasgulla
Indian,Bengali,Sandesh
Indian,Bengali,Shorshe Ilish
Indian,Bengali,Shukto
Indian,Bread,Aloo Paratha
Indian,Bread,Amritsari Kulcha
Indian,Bread,Appam
Indian,Bread,Bajra Bhakri
Indian,Bread,Bajra Roti
Indian,Bread,Bhatura
Indian,Bread,Butter Naan
Indian,Bread,Chapati
Indian,Bread,Cheese Naan
Indian,Bread,Cheese Paratha
Indian,Bread,Chole Kulche
Indian,Bread,Garlic Naan
Indian,Bread,Gobi Paratha
Indian,Bread,Idiyappam
Indian,Bread,Jowar Bhakri
Indian,Bread,Kulcha
Indian,Bread,Lachha Paratha
Indian,Bread,Luchi
Indian,Bread,Makki Ki Roti
Indian,Bread,Malabar Parotta
Indian,Bread,Methi Paratha
Indian,Bread,Missi Paratha
Indian,Bread,Missi Roti
Indian,Bread,Mooli Paratha
Indian,Bread,Naan
Indian,Bread,Onion Paratha
Indian,Bread,Paneer Paratha
Indian,Bread,Paratha
Indian,Bread,Phulka
Indian,Bread,Pudina Paratha
Indian,Bread,Puri
Indian,Bread,Rumali Roti
Indian,Bread,Tandoori Roti
Indian,Dessert,Ada Pradhaman
Indian,Dessert,Amrakhand
Indian,Dessert,Atta Halwa
Indian,Dessert,Badam Halwa
Indian,Dessert,Balushahi
Indian,Dessert,Barfi
Indian,Dessert,Basundi
Indian,Dessert,Besan Halwa
Indian,Dessert,Besan Laddu
Indian,Dessert,Boondi Laddu
Indian,Dessert,Chenna Poda
Indian,Dessert,Coconut Barfi
Indian,Dessert,Coconut Laddu
Indian,Dessert,Falooda
Indian,Dessert,Gajar Halwa
Indian,Dessert,Gond Laddu
Indian,Dessert,Gulab Jamun
Indian,Dessert,Jalebi
Indian,Dessert,Kaju Katli
Indian,Dessert,Kalakand
Indian,Dessert,Kheer
Indian,Dessert,Kulfi
Indian,Dessert,Malpua
Indian,Dessert,Mango Kulfi
Indian,Dessert,Mathura Peda
Indian,Dessert,Milk Cake
Indian,Dessert,Modak
Indian,Dessert,Moong Dal Halwa
Indian,Dessert,Motichoor Laddu
Indian,Dessert,Mysore Pak
Indian,Dessert,Payasam
Indian,Dessert,Peda
Indian,Dessert,Phirni
Indian,Dessert,Pista Barfi
Indian,Dessert,Pista Kulfi
Indian,Dessert,Rabri
Indian,Dessert,Rasgulla
Indian,Dessert,Rasmalai
Indian,Dessert,Shrikhand
Indian,Dessert,Soan Papdi
Indian,Dessert,Sooji Halwa
Indian,Dessert,Til Laddu
Indian,Gujarati,Dal Dhokli
Indian,Gujarati,Doodhpak
Indian,Gujarati,Fafda Jalebi
Indian,Gujarati,Ghevar
Indian,Gujarati,Gujarati Kadhi
Indian,Gujarati,Gujarati Thali
Indian,Gujarati,Handvo
Indian,Gujarati,Khandvi
Indian,Gujarati,Khichdi Kadhi
Indian,Gujarati,Lilva Kachori
Indian,Gujarati,Methi Thepla
Indian,Gujarati,Mohanthal
Indian,Gujarati,Patra
Indian,Gujarati,Ringna Bateta
Indian,Gujarati,Sev Tameta
Indian,Gujarati,Thepla
Indian,Kashmiri,Dum Aloo Kashmiri
Indian,Kashmiri,Gushtaba
Indian,Kashmiri,Haak Saag
Indian,Kashmiri,Kahwa
Indian,Kashmiri,Kashmiri Pulao
Indian,Kashmiri,Modur Pulao
Indian,Kashmiri,Nadru Yakhni
Indian,Kashmiri,Rista
Indian,Kashmiri,Rogan Josh
Indian,Kashmiri,Tabak Maaz
Indian,Kashmiri,Yakhni
Indian,Maharashtrian,Alu Vadi
Indian,Maharashtrian,Amti
Indian,Maharashtrian,Basundi
Indian,Maharashtrian,Batata Bhaji
Indian,Maharashtrian,Bharit
Indian,Maharashtrian,Bharli Vangi
Indian,Maharashtrian,Kanda Poha
Indian,Maharashtrian,Kothimbir Vadi
Indian,Maharashtrian,Matki Usal
Indian,Maharashtrian,Misal
Indian,Maharashtrian,Misal Pav
Indian,Maharashtrian,Modak
Indian,Maharashtrian,Pav Bhaji
Indian,Maharashtrian,Pithla Bhakri
Indian,Maharashtrian,Poha
Indian,Maharashtrian,Puran Poli
Indian,Maharashtrian,Sabudana Khichdi
Indian,Maharashtrian,Shrikhand
Indian,Maharashtrian,Sol Kadhi
Indian,Maharashtrian,Thalipeeth
Indian,Maharashtrian,Ukadiche Modak
Indian,Maharashtrian,Usal Pav
Indian,Maharashtrian,Vada Pav
Indian,Maharashtrian,Varan Bhaat
Indian,Maharashtrian,Zunka Bhakri
Indian,Main Course,Aloo Gobi
Indian,Main Course,Aloo Jeera
Indian,Main Course,Aloo Matar
Indian,Main Course,Aloo Palak
Indian,Main Course,Avial
Indian,Main Course,Baingan Bharta
Indian,Main Course,Bengali Fish Curry
Indian,Main Course,Bhindi Do Pyaza
Indian,Main Course,Bhindi Masala
Indian,Main Course,Butter Chicken
Indian,Main Course,Chana Masala
Indian,Main Course,Chicken Afghani
Indian,Main Course,Chicken Bhuna
Indian,Main Course,Chicken Chettinad
Indian,Main Course,Chicken Curry
Indian,Main Course,Chicken Dhaba
Indian,Main Course,Chicken Do Pyaza
Indian,Main Course,Chicken Handi
Indian,Main Course,Chicken Kolhapuri
Indian,Main Course,Chicken Korma
Indian,Main Course,Chicken Patiala
Indian,Main Course,Chicken Rogan Josh
Indian,Main Course,Chicken Saagwala
Indian,Main Course,Chicken Tikka Masala
Indian,Main Course,Chole
Indian,Main Course,Corn Palak
Indian,Main Course,Dal Fry
Indian,Main Course,Dal Makhani
Indian,Main Course,Dal Palak
Indian,Main Course,Dal Tadka
Indian,Main Course,Egg Curry
Indian,Main Course,Egg Masala
Indian,Main Course,Fish Curry
Indian,Main Course,Goan Fish Curry
Indian,Main Course,Goat Curry
Indian,Main Course,Gujarati Kadhi
Indian,Main Course,Jackfruit Curry
Indian,Main Course,Kadai Paneer
Indian,Main Course,Kadhi Pakora
Indian,Main Course,Kaju Curry
Indian,Main Course,Kashmiri Dum Aloo
Indian,Main Course,Kerala Fish Curry
Indian,Main Course,Laal Maas
Indian,Main Course,Malai Kofta
Indian,Main Course,Malvani Fish Curry
Indian,Main Course,Matar Paneer
Indian,Main Course,Methi Malai Matar
Indian,Main Course,Mix Veg
Indian,Main Course,Mushroom Do Pyaza
Indian,Main Course,Mushroom Masala
Indian,Main Course,Mutton Bhuna
Indian,Main Course,Mutton Curry
Indian,Main Course,Mutton Do Pyaza
Indian,Main Course,Mutton Handi
Indian,Main Course,Mutton Keema
Indian,Main Course,Mutton Korma
Indian,Main Course,Mutton Nihari
Indian,Main Course,Mutton Rogan Josh
Indian,Main Course,Mutton Saag
Indian,Main Course,Navratan Korma
Indian,Main Course,Palak Paneer
Indian,Main Course,Paneer Bhurji
Indian,Main Course,Paneer Butter Masala
Indian,Main Course,Paneer Do Pyaza
Indian,Main Course,Paneer Handi
Indian,Main Course,Paneer Kolhapuri
Indian,Main Course,Paneer Lababdar
Indian,Main Course,Prawn Curry
Indian,Main Course,Prawn Masala
Indian,Main Course,Punjabi Kadhi
Indian,Main Course,Rajma
Indian,Main Course,Rajma Masala
Indian,Main Course,Rasam
Indian,Main Course,Sambar
Indian,Main Course,Shahi Paneer
Indian,Main Course,Soya Chaap Curry
Indian,Main Course,Undhiyu
Indian,Main Course,Veg Kofta Curry
Indian,Main Course,Veg Korma
Indian,Main Course,Vegetable Stew
Indian,Punjabi,Aloo Paratha
Indian,Punjabi,Amritsari Fish
Indian,Punjabi,Amritsari Kulcha
Indian,Punjabi,Butter Chicken
Indian,Punjabi,Chole Bhature
Indian,Punjabi,Dal Makhani
Indian,Punjabi,Kadhi Chawal
Indian,Punjabi,Makki Di Roti
Indian,Punjabi,Paneer Tikka
Indian,Punjabi,Pindi Chole
Indian,Punjabi,Punjabi Chole
Indian,Punjabi,Rajma Chawal
Indian,Punjabi,Sarson Ka Saag
Indian,Punjabi,Tandoori Chicken
Indian,Rajasthani,Bajre Ki Roti
Indian,Rajasthani,Churma
Indian,Rajasthani,Dal Baati Churma
Indian,Rajasthani,Gatte Ki Sabzi
